function	function_usr	domain	provenance	current_source	current_header	original_source	original_header
p101_readlink	c:@F@p101_readlink	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_readlinkat	c:@F@p101_readlinkat	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_realpath	c:@F@p101_realpath	filesystem	XSI	libraries/lib_filesystem/src/stdlib.c	libraries/lib_filesystem/include/p101_filesystem/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h
p101_renameat	c:@F@p101_renameat	filesystem	POSIX	libraries/lib_filesystem/src/stdio.c	libraries/lib_filesystem/include/p101_filesystem/p101_stdio.h	libraries/lib_posix/src/stdio.c	libraries/lib_posix/include/p101_posix/p101_stdio.h
p101_rewinddir	c:@F@p101_rewinddir	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
p101_rmdir	c:@F@p101_rmdir	filesystem	POSIX	libraries/lib_filesystem/src/unistd.c	libraries/lib_filesystem/include/p101_filesystem/p101_unistd.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h
p101_scandir	c:@F@p101_scandir	filesystem	POSIX	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix/src/dirent.c	libraries/lib_posix/include/p101_posix/p101_dirent.h
p101_seekdir	c:@F@p101_seekdir	filesystem	XSI	libraries/lib_filesystem/src/dirent.c	libraries/lib_filesystem/include/p101_filesystem/p101_dirent.h	libraries/lib_posix_xsi/src/dirent.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_dirent.h
p101_stat	c:@F@p101_stat	filesystem	POSIX	libraries/lib_filesystem/src/sys/stat.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_stat.h	libraries/lib_posix/src/sys/stat.c	libraries/lib_posix/include/p101_posix/sys/p101_stat.h
p101_statvfs	c:@F@p101_statvfs	filesystem	POSIX	libraries/lib_filesystem/src/sys/statvfs.c	libraries/lib_filesystem/include/p101_filesystem/sys/p101_statvfs.h	libraries/lib_posix/src/sys/statvfs.c	libraries/lib_posix/include/p101_posix/sys/p101_statvfs.h
